synset	domain 
Synset('creep.n.03')	Synset('enclosure.n.01')
Synset('bacteroidaceae.n.01')	Synset('family.n.06')-misc
Synset('matai.n.01')	Synset('gymnospermous_tree.n.01')
Synset('diatonic_scale.n.01')	Synset('notation.n.01')
Synset('lumberman.n.01')	Synset('workman.n.01')
Synset('mummy.n.02')	Synset('natural_object.n.01')-misc
Synset('seemliness.n.01')	Synset('demeanor.n.01')
Synset('gene_chip.n.01')	Synset('conductor.n.04')
Synset('imperialism.n.02')	Synset('attitude.n.01')
Synset('imperialism.n.03')	Synset('control.n.05')
Synset('viperine_grass_snake.n.01')	Synset('snake.n.01')
Synset('imperialism.n.01')	Synset('reasoning.n.01')
Synset('fast.n.01')	Synset('control.n.05')
Synset('congo_franc.n.01')	Synset('monetary_unit.n.01')-misc
Synset('yeast_cake.n.01')	Synset('substance.n.07')-misc
Synset('sergeant_major.n.01')	Synset('serviceman.n.01')
Synset('bones.n.01')	Synset('musical_instrument.n.01')
Synset('simperer.n.01')	Synset('person.n.01')-misc
Synset('long_sleeve.n.01')	Synset('cloth_covering.n.01')
Synset('arc_cosecant.n.01')	Synset('relation.n.01')-misc
Synset('ladies'_tresses.n.01')	Synset('orchid.n.01')
Synset('prettiness.n.01')	Synset('appearance.n.01')
Synset('space_shuttle.n.01')	Synset('craft.n.02')-misc
Synset('ray.n.06')	Synset('process.n.05')
Synset('ray.n.07')	Synset('cartilaginous_fish.n.01')
Synset('quantic.n.01')	Synset('relation.n.01')-misc
Synset('ray.n.03')	Synset('line.n.04')
Synset('manta.n.01')	Synset('cloth_covering.n.01')
Synset('carpospore.n.01')	Synset('reproductive_structure.n.01')-misc
Synset('argillite.n.01')	Synset('rock.n.02')
Synset('manila_grass.n.01')	Synset('gramineous_plant.n.01')
Synset('pattypan_squash.n.02')	Synset('vegetable.n.01')
Synset('army_unit.n.01')	Synset('military_unit.n.01')
Synset('comedown.n.01')	Synset('change_of_state.n.01')-misc
Synset('pleasingness.n.01')	Synset('property.n.02')-misc
Synset('brain_coral.n.01')	Synset('invertebrate.n.01')-misc
Synset('inventory.n.01')	Synset('information.n.01')
Synset('fraternal_twin.n.01')	Synset('relative.n.01')
Synset('knapweed.n.01')	Synset('subshrub.n.01')
Synset('defensiveness.n.01')	Synset('quality.n.01')-misc
Synset('anaplasmosis.n.01')	Synset('animal_disease.n.01')
Synset('urobilin.n.01')	Synset('coloring_material.n.01')
Synset('eparchy.n.02')	Synset('district.n.01')
Synset('reformer.n.02')	Synset('apparatus.n.01')
Synset('boiling.n.02')	Synset('change_of_state.n.01')-misc
Synset('inventory.n.05')	Synset('activity.n.01')-misc
Synset('social_control.n.01')	Synset('social_control.n.01')
Synset('english_springer.n.01')	Synset('dog.n.01')
Synset('singlet.n.01')	Synset('garment.n.01')-misc
Synset('morgen.n.01')	Synset('unit_of_measurement.n.01')-misc
Synset('calamine_lotion.n.01')	Synset('medicine.n.02')-misc
Synset('palliative.n.01')	Synset('medicine.n.02')-misc
Synset('lamaist.n.01')	Synset('follower.n.01')
Synset('coexistence.n.01')	Synset('being.n.01')
Synset('film_editing.n.01')	Synset('creation.n.01')
Synset('podiatry.n.01')	Synset('life_science.n.01')
Synset('delf.n.01')	Synset('artifact.n.01')-misc
Synset('downturn.n.01')	Synset('change_of_state.n.01')-misc
Synset('kinswoman.n.01')	Synset('relative.n.01')
Synset('bush_honeysuckle.n.03')	Synset('shrub.n.01')-misc
Synset('premolar.n.01')	Synset('connective_tissue.n.01')
Synset('niblick.n.01')	Synset('sports_equipment.n.01')
Synset('writer.n.02')	Synset('person.n.01')-misc
Synset('tear_gas.n.01')	Synset('fluid.n.02')
Synset('writer.n.01')	Synset('writer.n.01')
Synset('paper_route.n.02')	Synset('occupation.n.01')-misc
Synset('chess_club.n.01')	Synset('association.n.01')
Synset('cranberry_sauce.n.01')	Synset('condiment.n.01')
Synset('oxyacetylene_torch.n.01')	Synset('apparatus.n.01')
Synset('glycerin_jelly.n.01')	Synset('organic_compound.n.01')-misc
Synset('shoelace.n.01')	Synset('line.n.18')
Synset('stop_payment.n.01')	Synset('document.n.01')-misc
Synset('centropristis.n.01')	Synset('fish_genus.n.01')-misc
Synset('potassium_chloride.n.01')	Synset('salt.n.01')
Synset('automobile_traffic.n.01')	Synset('collection.n.01')-misc
Synset('tambala.n.01')	Synset('monetary_unit.n.01')-misc
Synset('white_goods.n.02')	Synset('commodity.n.01')-misc
Synset('athyrium.n.01')	Synset('fern_genus.n.01')
Synset('compatibility.n.01')	Synset('feeling.n.01')-misc
Synset('compatibility.n.02')	Synset('quality.n.01')-misc
Synset('familiar.n.03')	Synset('spiritual_being.n.01')
Synset('achylia.n.01')	Synset('disorder.n.01')-misc
Synset('heir_apparent.n.01')	Synset('person.n.01')-misc
Synset('guitar_pick.n.01')	Synset('device.n.01')-misc
Synset('danaea.n.01')	Synset('fern_genus.n.01')
Synset('false_lily_of_the_valley.n.01')	Synset('bulbous_plant.n.01')
Synset('setter.n.02')	Synset('dog.n.01')
Synset('filefish.n.01')	Synset('spiny-finned_fish.n.01')-misc
Synset('indigo_bunting.n.01')	Synset('oscine.n.01')-misc
Synset('immortality.n.01')	Synset('temporal_property.n.01')
Synset('land_office.n.01')	Synset('establishment.n.04')
Synset('immortality.n.02')	Synset('time_period.n.01')-misc
Synset('packaging_company.n.01')	Synset('company.n.01')
Synset('vantage.n.01')	Synset('point.n.02')-misc
Synset('turgidity.n.01')	Synset('expressive_style.n.01')-misc
Synset('private_citizen.n.01')	Synset('person.n.01')-misc
Synset('dust_bag.n.01')	Synset('bag.n.01')
Synset('buphthalmum.n.01')	Synset('asterid_dicot_genus.n.01')-misc
Synset('jawless_vertebrate.n.01')	Synset('aquatic_vertebrate.n.01')-misc
Synset('love.n.04')	Synset('feeling.n.01')-misc
Synset('professional_association.n.01')	Synset('association.n.01')
Synset('working_dog.n.01')	Synset('dog.n.01')
Synset('boy.n.04')	Synset('person_of_color.n.01')-misc
Synset('stinging_hair.n.01')	Synset('process.n.05')
Synset('boy.n.02')	Synset('male.n.02')
Synset('sugar_refinery.n.01')	Synset('structure.n.01')-misc
Synset('balkiness.n.01')	Synset('trait.n.01')-misc
Synset('prince's-feather.n.01')	Synset('subshrub.n.01')
Synset('cosy.n.01')	Synset('cloth_covering.n.01')
Synset('malted.n.01')	Synset('small_indefinite_quantity.n.01')
Synset('tadalafil.n.01')	Synset('drug.n.01')-misc
Synset('fescue.n.01')	Synset('gramineous_plant.n.01')
Synset('sail.n.03')	Synset('structure.n.01')-misc
Synset('infamy.n.01')	Synset('status.n.01')-misc
Synset('colony.n.06')	Synset('biological_group.n.01')-misc
Synset('vaquero.n.01')	Synset('workman.n.01')
Synset('infamy.n.02')	Synset('status.n.01')-misc
Synset('colony.n.03')	Synset('geographical_area.n.01')-misc
Synset('colony.n.02')	Synset('biological_group.n.01')-misc
Synset('colony.n.01')	Synset('body.n.02')
Synset('pauper.n.01')	Synset('unfortunate.n.01')
Synset('functional_illiterate.n.01')	Synset('person.n.01')-misc
Synset('form.n.14')	Synset('quality.n.01')-misc
Synset('cingulum.n.01')	Synset('structure.n.04')-misc
Synset('form.n.10')	Synset('writing_style.n.01')
Synset('form.n.11')	Synset('property.n.02')-misc
Synset('aminomethane.n.01')	Synset('unit.n.05')-misc
Synset('valuation.n.02')	Synset('cost.n.01')-misc
Synset('resorcinol.n.01')	Synset('organic_compound.n.01')-misc
Synset('deficit.n.01')	Synset('magnitude.n.01')
Synset('deficit.n.02')	Synset('condition.n.01')-misc
Synset('deficit.n.03')	Synset('number.n.02')-misc
Synset('deficit.n.04')	Synset('liabilities.n.01')
Synset('iris.n.01')	Synset('bulbous_plant.n.01')
Synset('fox_squirrel.n.01')	Synset('rodent.n.01')
Synset('third_person.n.01')	Synset('class.n.01')
Synset('dichotomization.n.01')	Synset('change_of_integrity.n.01')
Synset('reactivity.n.02')	Synset('condition.n.01')-misc
Synset('translator.n.03')	Synset('coding_system.n.01')
Synset('translator.n.01')	Synset('person.n.01')-misc
Synset('market.n.02')	Synset('people.n.01')
Synset('clostridium.n.01')	Synset('moneran.n.01')
Synset('fermium.n.01')	Synset('chemical_element.n.01')
Synset('limpkin.n.01')	Synset('wading_bird.n.01')
Synset('tuatara.n.01')	Synset('diapsid.n.01')-misc
Synset('western_lowland_gorilla.n.01')	Synset('primate.n.02')
Synset('medal_play.n.01')	Synset('sport.n.01')
Synset('helminthiasis.n.01')	Synset('condition.n.01')-misc
Synset('havoc.n.01')	Synset('motion.n.03')
Synset('carrier.n.10')	Synset('supporting_structure.n.01')
Synset('nones.n.01')	Synset('datum.n.01')
Synset('tetracycline.n.01')	Synset('antibacterial.n.01')
Synset('water_cooler.n.01')	Synset('device.n.01')-misc
Synset('beagle.n.01')	Synset('dog.n.01')
Synset('borax.n.01')	Synset('mineral.n.01')-misc
Synset('acardia.n.01')	Synset('abnormality.n.01')
Synset('native.n.03')	Synset('organism.n.01')-misc
Synset('soutache.n.01')	Synset('adornment.n.01')
Synset('native.n.01')	Synset('person.n.01')-misc
Synset('ludi_saeculares.n.01')	Synset('diversion.n.01')-misc
Synset('newspaper.n.02')	Synset('enterprise.n.02')
Synset('newspaper.n.01')	Synset('medium.n.01')
Synset('peridotite.n.01')	Synset('rock.n.02')
Synset('mexican-american.n.01')	Synset('american.n.03')
Synset('yellow_warbler.n.01')	Synset('oscine.n.01')-misc
Synset('sound_ranging.n.01')	Synset('measurement.n.01')
Synset('time.n.06')	Synset('happening.n.01')-misc
Synset('ecumenism.n.01')	Synset('movement.n.04')
Synset('time.n.04')	Synset('measure.n.02')-misc
Synset('genus_caragana.n.01')	Synset('rosid_dicot_genus.n.01')-misc
Synset('time.n.02')	Synset('time_period.n.01')-misc
Synset('time.n.03')	Synset('time_period.n.01')-misc
Synset('time.n.01')	Synset('happening.n.01')-misc
Synset('marsh_gas.n.01')	Synset('fluid.n.02')
Synset('bachelor_of_divinity.n.01')	Synset('award.n.02')
Synset('slider.n.03')	Synset('reptile.n.01')-misc
Synset('slider.n.04')	Synset('propulsion.n.02')
Synset('sylvite.n.01')	Synset('mineral.n.01')-misc
Synset('fashion_plate.n.02')	Synset('representation.n.02')-misc
Synset('red_meat.n.01')	Synset('meat.n.01')
Synset('oceanographer.n.01')	Synset('scientist.n.01')
Synset('stocker.n.01')	Synset('domestic_animal.n.01')-misc
Synset('garnishee.n.01')	Synset('employee.n.01')-misc
Synset('pasteurization.n.01')	Synset('improvement.n.02')
Synset('ache.n.01')	Synset('pain.n.01')
Synset('antic.n.01')	Synset('diversion.n.01')-misc
Synset('roman_times.n.01')	Synset('time_period.n.01')-misc
Synset('radioactive_iodine_test.n.01')	Synset('attempt.n.01')
Synset('staleness.n.02')	Synset('property.n.02')-misc
Synset('tenpenny_nail.n.01')	Synset('restraint.n.06')
Synset('hakea.n.01')	Synset('dicot_genus.n.01')-misc
Synset('examiner.n.01')	Synset('communicator.n.01')-misc
Synset('examiner.n.02')	Synset('expert.n.01')
Synset('ceiling.n.04')	Synset('position.n.07')
Synset('used-car_lot.n.01')	Synset('tract.n.01')
Synset('axle_grease.n.01')	Synset('lipid.n.01')
Synset('demographic.n.01')	Synset('datum.n.01')
Synset('timbale.n.02')	Synset('baked_goods.n.01')-misc
Synset('dodger.n.01')	Synset('wrongdoer.n.01')
Synset('baltic-finnic.n.01')	Synset('ural-altaic.n.01')
Synset('rim_blight.n.01')	Synset('plant_disease.n.01')
Synset('ceiling.n.01')	Synset('surface.n.01')
Synset('hyperchromic_anemia.n.01')	Synset('dyscrasia.n.01')
Synset('sample.n.03')	Synset('natural_object.n.01')-misc
Synset('trinectes.n.01')	Synset('fish_genus.n.01')-misc
Synset('southern_blue_flag.n.01')	Synset('bulbous_plant.n.01')
Synset('confiture.n.01')	Synset('dainty.n.01')
Synset('guardroom.n.02')	Synset('room.n.01')
Synset('cadmium_orange.n.01')	Synset('coloring_material.n.01')
Synset('plume_grass.n.01')	Synset('gramineous_plant.n.01')
Synset('aspiration.n.01')	Synset('trait.n.01')-misc
Synset('aspiration.n.03')	Synset('utterance.n.01')
Synset('xanthorrhoeaceae.n.01')	Synset('monocot_family.n.01')
Synset('sorex.n.01')	Synset('mammal_genus.n.01')-misc
Synset('pride_of_california.n.01')	Synset('climber.n.01')
Synset('electrostatic_unit.n.01')	Synset('unit_of_measurement.n.01')-misc
Synset('leptodactylid_frog.n.01')	Synset('amphibian.n.03')
Synset('cold_war.n.01')	Synset('state.n.02')-misc
Synset('triiodothyronine.n.01')	Synset('body_substance.n.01')
Synset('trustee-beneficiary_relation.n.01')	Synset('relation.n.01')-misc
Synset('surveillance_system.n.01')	Synset('system.n.01')
Synset('sign.n.10')	Synset('language_unit.n.01')-misc
Synset('tachistoscope.n.01')	Synset('scientific_instrument.n.01')
Synset('tabard.n.01')	Synset('overgarment.n.01')
Synset('right_angle.n.01')	Synset('amorphous_shape.n.01')
Synset('sterninae.n.01')	Synset('bird_family.n.01')
Synset('harasser.n.01')	Synset('unwelcome_person.n.01')
Synset('harasser.n.02')	Synset('wrongdoer.n.01')
Synset('seminal_duct.n.01')	Synset('passage.n.07')
Synset('marsh_gentian.n.01')	Synset('flower.n.01')-misc
Synset('service_door.n.01')	Synset('way.n.06')-misc
Synset('east_indian.n.01')	Synset('asian.n.01')
Synset('marxism.n.01')	Synset('attitude.n.01')
Synset('student_teacher.n.01')	Synset('person.n.01')-misc
Synset('breathalyzer.n.01')	Synset('device.n.01')-misc
Synset('oxonian.n.01')	Synset('european.n.01')
Synset('keystroke.n.01')	Synset('motion.n.03')
Synset('american_saddle_horse.n.01')	Synset('odd-toed_ungulate.n.01')
Synset('nail_polish.n.01')	Synset('coating.n.01')
Synset('plantae.n.01')	Synset('taxonomic_group.n.01')-misc
Synset('crotophaga.n.01')	Synset('bird_genus.n.01')-misc
Synset('soup_plate.n.01')	Synset('article.n.02')
Synset('astronomy_satellite.n.01')	Synset('equipment.n.01')-misc
Synset('spackle.n.01')	Synset('building_material.n.01')
Synset('kentucky_coffee_tree.n.01')	Synset('tree.n.01')-misc
Synset('noise_level.n.01')	Synset('magnitude.n.01')
Synset('carnal_abuse.n.01')	Synset('sexual_activity.n.01')
Synset('albright's_disease.n.01')	Synset('abnormality.n.01')
Synset('grape_arbor.n.01')	Synset('supporting_structure.n.01')
Synset('caprifig.n.01')	Synset('tree.n.01')-misc
Synset('common_nutcracker.n.01')	Synset('oscine.n.01')-misc
Synset('leukopenia.n.01')	Synset('dyscrasia.n.01')
Synset('red_drum.n.01')	Synset('percoid_fish.n.01')-misc
Synset('yam.n.01')	Synset('stalk.n.02')
Synset('cyclopean_masonry.n.01')	Synset('structure.n.01')-misc
Synset('ghost_word.n.01')	Synset('word.n.01')
Synset('chilean_rimu.n.01')	Synset('shrub.n.01')-misc
Synset('aerial_ladder.n.01')	Synset('way.n.06')-misc
Synset('bavarian.n.01')	Synset('european.n.01')
Synset('stunt.n.01')	Synset('accomplishment.n.01')
Synset('salmo.n.01')	Synset('fish_genus.n.01')-misc
Synset('anther.n.01')	Synset('reproductive_structure.n.01')-misc
Synset('farmer's_market.n.01')	Synset('establishment.n.04')
Synset('consolidation.n.01')	Synset('happening.n.01')-misc
Synset('malfeasance.n.01')	Synset('wrongdoing.n.02')-misc
Synset('costoaxillary_vein.n.01')	Synset('vein.n.01')
Synset('potassium_carbonate.n.01')	Synset('salt.n.01')
Synset('unemployment.n.01')	Synset('state.n.02')-misc
Synset('marburg_virus.n.01')	Synset('agent.n.01')
Synset('xyridales.n.01')	Synset('plant_order.n.01')
Synset('bamboo_palm.n.02')	Synset('tree.n.01')-misc
Synset('yellow_dwarf_of_potato.n.01')	Synset('plant_disease.n.01')
Synset('varna.n.02')	Synset('group.n.01')-misc
Synset('standpipe.n.01')	Synset('passage.n.03')
Synset('swatch.n.01')	Synset('piece.n.01')
Synset('abdominal_breathing.n.01')	Synset('bodily_process.n.01')-misc
Synset('platyrrhini.n.01')	Synset('mammal_family.n.01')
Synset('schmidt_telescope.n.01')	Synset('scientific_instrument.n.01')
Synset('shaktist.n.01')	Synset('religious_person.n.01')
Synset('thenar.n.01')	Synset('body_part.n.01')-misc
Synset('xylomelum.n.01')	Synset('dicot_genus.n.01')-misc
Synset('satyr_orchid.n.01')	Synset('orchid.n.01')
Synset('avower.n.01')	Synset('communicator.n.01')-misc
Synset('unseemliness.n.01')	Synset('demeanor.n.01')
Synset('vogue.n.02')	Synset('situation.n.01')
Synset('sick_leave.n.01')	Synset('time_period.n.01')-misc
Synset('bay_willow.n.01')	Synset('tree.n.01')-misc
Synset('curvilinear_regression.n.01')	Synset('know-how.n.01')
Synset('missouri_goldenrod.n.01')	Synset('wilding.n.01')
Synset('nasal_septum.n.01')	Synset('body_part.n.01')-misc
Synset('bye.n.01')	Synset('speech_act.n.01')-misc
Synset('workbook.n.01')	Synset('work.n.02')
Synset('rebound.n.03')	Synset('act.n.02')-misc
Synset('rebound.n.02')	Synset('reaction.n.03')
Synset('individual.n.02')	Synset('organism.n.01')-misc
Synset('greatest_common_divisor.n.01')	Synset('integer.n.01')
Synset('blue_star.n.01')	Synset('subshrub.n.01')
Synset('cabinet_wood.n.01')	Synset('wood.n.01')
Synset('thermionic_current.n.01')	Synset('physical_phenomenon.n.01')-misc
Synset('achaean.n.01')	Synset('european.n.01')
Synset('meristem.n.01')	Synset('plant_part.n.01')-misc
Synset('process_printing.n.01')	Synset('writing.n.04')-misc
Synset('consolidation.n.03')	Synset('natural_object.n.01')-misc
Synset('neuroplasty.n.01')	Synset('medical_procedure.n.01')
Synset('distinction.n.04')	Synset('quality.n.01')-misc
Synset('radio_station.n.01')	Synset('facility.n.01')
Synset('ciliata.n.01')	Synset('class.n.07')
Synset('life_insurance.n.01')	Synset('assets.n.01')-misc
Synset('distinction.n.03')	Synset('quality.n.01')-misc
Synset('geometric_series.n.01')	Synset('relation.n.01')-misc
Synset('test.n.05')	Synset('attempt.n.01')
Synset('test.n.04')	Synset('attempt.n.01')
Synset('test.n.02')	Synset('measurement.n.01')
Synset('floor.n.04')	Synset('object.n.01')-misc
Synset('sonora_lac.n.01')	Synset('animal_material.n.01')
Synset('potato.n.02')	Synset('vine.n.01')-misc
Synset('burette.n.01')	Synset('measuring_instrument.n.01')-misc
Synset('scriptorium.n.01')	Synset('room.n.01')
Synset('speculation.n.03')	Synset('assets.n.01')-misc
Synset('speculation.n.02')	Synset('concept.n.01')-misc
Synset('broom_closet.n.01')	Synset('area.n.05')-misc
Synset('reclusiveness.n.01')	Synset('nature.n.04')
Synset('dropper.n.01')	Synset('measuring_instrument.n.01')-misc
Synset('matthiola.n.01')	Synset('dilleniid_dicot_genus.n.01')-misc
Synset('viscountess.n.01')	Synset('female.n.02')
Synset('viscountess.n.02')	Synset('aristocrat.n.01')
Synset('stele.n.02')	Synset('building_material.n.01')
Synset('potato.n.01')	Synset('starches.n.01')
Synset('valentine.n.02')	Synset('written_communication.n.01')-misc
Synset('graveyard_watch.n.01')	Synset('time_period.n.01')-misc
Synset('arroba.n.01')	Synset('unit_of_measurement.n.01')-misc
Synset('sea_squirt.n.01')	Synset('chordate.n.01')-misc
Synset('marsh_orchid.n.01')	Synset('orchid.n.01')
Synset('cosecant.n.01')	Synset('relation.n.01')-misc
Synset('whipped_cream.n.01')	Synset('decoration.n.01')-misc
Synset('field_strength_unit.n.01')	Synset('electromagnetic_unit.n.01')
Synset('walker.n.06')	Synset('supporting_structure.n.01')
Synset('walker.n.05')	Synset('supporting_structure.n.01')
Synset('walker.n.04')	Synset('footwear.n.02')
Synset('advocate.n.02')	Synset('professional.n.01')
Synset('photocoagulator.n.01')	Synset('instrument.n.01')-misc
Synset('advocate.n.01')	Synset('advocate.n.01')
Synset('uintatheriidae.n.01')	Synset('mammal_family.n.01')
Synset('grits.n.01')	Synset('food.n.02')-misc
Synset('oleander.n.01')	Synset('plant.n.02')-misc
Synset('encoding.n.01')	Synset('activity.n.01')-misc
Synset('homogeny.n.01')	Synset('quality.n.01')-misc
Synset('villa.n.04')	Synset('housing.n.01')
Synset('concavity.n.02')	Synset('spatial_property.n.01')
Synset('cinchona.n.01')	Synset('covering.n.01')
Synset('content.n.05')	Synset('representation.n.01')
Synset('scrub_plane.n.01')	Synset('cutting_implement.n.01')
Synset('mustard_plaster.n.01')	Synset('cloth_covering.n.01')
Synset('minocycline.n.01')	Synset('antibacterial.n.01')
Synset('texas_horned_lizard.n.01')	Synset('saurian.n.01')
Synset('abdication.n.02')	Synset('document.n.01')-misc
Synset('theory_of_evolution.n.01')	Synset('explanation.n.02')
Synset('floating_fern.n.02')	Synset('fern.n.01')
Synset('sangoma.n.01')	Synset('expert.n.01')
Synset('floating_fern.n.01')	Synset('fern.n.01')
Synset('cayuga.n.02')	Synset('amerind.n.01')
Synset('cayuga.n.01')	Synset('amerindian.n.01')
Synset('hyperbolic_geometry.n.01')	Synset('science.n.01')-misc
Synset('light_show.n.01')	Synset('entertainment.n.01')
Synset('sales_incentive.n.01')	Synset('payment.n.01')
Synset('junk_bond.n.01')	Synset('document.n.03')
Synset('onoclea.n.01')	Synset('fern_genus.n.01')
Synset('monocline.n.01')	Synset('geological_formation.n.01')
Synset('lazy_daisy_stitch.n.01')	Synset('needlework.n.01')
Synset('oboe_d'amore.n.01')	Synset('musical_instrument.n.01')
Synset('orange.n.03')	Synset('fruit_tree.n.01')
Synset('orange.n.02')	Synset('visual_property.n.01')
Synset('orange.n.01')	Synset('edible_fruit.n.01')
Synset('lesson.n.01')	Synset('profession.n.02')
Synset('herpes_simplex_encephalitis.n.01')	Synset('inflammation.n.01')
Synset('winning.n.01')	Synset('accomplishment.n.01')
Synset('barter.n.01')	Synset('commerce.n.01')
Synset('nationhood.n.01')	Synset('state.n.02')-misc
Synset('tinamidae.n.01')	Synset('bird_family.n.01')
Synset('orchestration.n.01')	Synset('musical_composition.n.01')
Synset('orchestration.n.03')	Synset('creation.n.01')
Synset('orchestration.n.02')	Synset('creation.n.01')
Synset('bandwidth.n.01')	Synset('system_of_measurement.n.01')
Synset('battle_line.n.01')	Synset('point.n.02')-misc
Synset('elastoplast.n.01')	Synset('cloth_covering.n.01')
Synset('equerry.n.01')	Synset('official.n.01')
Synset('microscopist.n.01')	Synset('scientist.n.01')
Synset('equerry.n.02')	Synset('assistant.n.01')
Synset('naprapathy.n.01')	Synset('care.n.01')
Synset('plastic_art.n.01')	Synset('art.n.01')
Synset('caveat.n.02')	Synset('statement.n.01')-misc
Synset('crotch.n.02')	Synset('amorphous_shape.n.01')
Synset('arrester.n.01')	Synset('restraint.n.06')
Synset('marsupium.n.01')	Synset('cavity.n.04')
Synset('flame_tokay.n.01')	Synset('edible_fruit.n.01')
Synset('workman.n.01')	Synset('workman.n.01')
Synset('warhorse.n.01')	Synset('art.n.01')
Synset('warhorse.n.03')	Synset('odd-toed_ungulate.n.01')
Synset('cordon.n.01')	Synset('ordering.n.01')
Synset('punic.n.01')	Synset('afroasiatic.n.01')
Synset('cordon.n.03')	Synset('adornment.n.01')
Synset('pubic_hair.n.01')	Synset('covering.n.01')
Synset('kentucky_derby.n.01')	Synset('contest.n.01')
Synset('infuriation.n.01')	Synset('emotion.n.01')
Synset('audit.n.02')	Synset('investigation.n.02')
Synset('filer.n.01')	Synset('person.n.01')-misc
Synset('moderate_breeze.n.01')	Synset('atmospheric_phenomenon.n.01')
Synset('batch.n.01')	Synset('collection.n.01')-misc
Synset('batch.n.02')	Synset('indefinite_quantity.n.01')-misc
Synset('batch.n.03')	Synset('collection.n.01')-misc
Synset('stump.n.03')	Synset('structural_member.n.01')
Synset('bonduc.n.02')	Synset('tree.n.01')-misc
Synset('penologist.n.01')	Synset('scientist.n.01')
Synset('blockhouse.n.01')	Synset('structure.n.01')-misc
Synset('myelinization.n.01')	Synset('organic_process.n.01')-misc
Synset('satin_stitch.n.01')	Synset('needlework.n.01')
Synset('candlesnuffer.n.01')	Synset('implement.n.01')-misc
Synset('rumex.n.01')	Synset('dicot_genus.n.01')-misc
Synset('rank.n.02')	Synset('rank.n.02')
Synset('beads.n.01')	Synset('collection.n.01')-misc
Synset('tundra_soil.n.01')	Synset('earth.n.02')
Synset('mesoamerican.n.01')	Synset('american.n.03')
Synset('scrimmage.n.01')	Synset('activity.n.01')-misc
Synset('universalism.n.01')	Synset('doctrine.n.01')
Synset('hydathode.n.01')	Synset('amorphous_shape.n.01')
Synset('plant_family.n.01')	Synset('family.n.06')-misc
Synset('schizophyta.n.01')	Synset('biological_group.n.01')-misc
Synset('skimmer.n.01')	Synset('person.n.01')-misc
Synset('scar_tissue.n.01')	Synset('connective_tissue.n.01')
Synset('jewelled_headdress.n.01')	Synset('headdress.n.01')
Synset('texas_fever.n.01')	Synset('animal_disease.n.01')
Synset('assassination.n.02')	Synset('termination.n.05')
Synset('youngness.n.01')	Synset('property.n.02')-misc
Synset('practice_range.n.01')	Synset('facility.n.01')
Synset('aecium.n.01')	Synset('plant_organ.n.01')-misc
Synset('sorus.n.01')	Synset('reproductive_structure.n.01')-misc
Synset('expedience.n.01')	Synset('quality.n.01')-misc
Synset('stenopelmatus.n.01')	Synset('arthropod_genus.n.01')-misc
Synset('darnel.n.01')	Synset('gramineous_plant.n.01')
Synset('big_stick.n.01')	Synset('visual_communication.n.01')
Synset('iron_blue.n.02')	Synset('coloring_material.n.01')
Synset('iron_blue.n.01')	Synset('visual_property.n.01')
Synset('buccinidae.n.01')	Synset('family.n.06')-misc
Synset('marine_iguana.n.01')	Synset('saurian.n.01')
Synset('buffer.n.01')	Synset('compound.n.02')-misc
Synset('gleam.n.01')	Synset('visual_property.n.01')
Synset('hypercalcemia.n.01')	Synset('symptom.n.01')-misc
Synset('buffer.n.04')	Synset('memory_device.n.01')
Synset('firestorm.n.01')	Synset('atmospheric_phenomenon.n.01')
Synset('city_planning.n.01')	Synset('creation.n.01')
Synset('reorientation.n.01')	Synset('attitude.n.01')
Synset('pigfish.n.02')	Synset('percoid_fish.n.01')-misc
Synset('ventilation_shaft.n.01')	Synset('passage.n.03')
Synset('brethren.n.01')	Synset('religion.n.02')
Synset('malawian_monetary_unit.n.01')	Synset('monetary_unit.n.01')-misc
Synset('plant_product.n.01')	Synset('plant_product.n.01')
Synset('relationship.n.01')	Synset('relation.n.01')-misc
Synset('sclerotium.n.01')	Synset('fungus_genus.n.01')
Synset('glyceric_acid.n.01')	Synset('acid.n.01')
Synset('machilidae.n.01')	Synset('arthropod_family.n.01')
Synset('sprawl.n.02')	Synset('bodily_property.n.01')
Synset('move.n.01')	Synset('choice.n.02')
Synset('worst.n.01')	Synset('ending.n.04')
Synset('swat_team.n.01')	Synset('unit.n.03')-misc
Synset('audible.n.01')	Synset('plan.n.01')
Synset('ham_hock.n.01')	Synset('meat.n.01')
Synset('heel.n.06')	Synset('part.n.02')-misc
Synset('advocacy.n.01')	Synset('activity.n.01')-misc
Synset('toe.n.04')	Synset('part.n.02')-misc
Synset('peritoneal_cavity.n.01')	Synset('cavity.n.04')
Synset('hooker.n.05')	Synset('athlete.n.01')
Synset('hooker.n.04')	Synset('player.n.01')
Synset('laudanum.n.01')	Synset('drug.n.01')-misc
Synset('pars_distilis.n.01')	Synset('gland.n.01')
Synset('move.n.05')	Synset('activity.n.01')-misc
Synset('habanera.n.01')	Synset('music.n.01')-misc
Synset('thymus.n.01')	Synset('asterid_dicot_genus.n.01')-misc
Synset('habanera.n.02')	Synset('performing_arts.n.01')
Synset('riding_bitt.n.01')	Synset('structural_member.n.01')
Synset('newsletter.n.01')	Synset('information.n.01')
Synset('jewel_orchid.n.01')	Synset('orchid.n.01')
Synset('armenian.n.01')	Synset('asian.n.01')
Synset('armenian.n.02')	Synset('indo-european.n.02')
