Synonyms,Glossary,Synset in hierarchy,,,,,,,,,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes,Synset
operating_table,table on which the patient lies during a surgical operation,,,"[Synset('operating_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('operating_table.n.01')
deathbed,the bed on which a person dies,,,,"[Synset('deathbed.n.02')],",,,,,,l,,y,,,Synset('deathbed.n.02')
sickbed,the bed on which a sick person lies,,,,"[Synset('sickbed.n.01')],",,,,,,l,x,y,,more figure of speech ,Synset('sickbed.n.01')
marriage_bed,the bed shared by a newly wed couple,,,,"[Synset('marriage_bed.n.01')],",,,,,,l,x,y,,more figure of speech ,Synset('marriage_bed.n.01')
throne,"the chair of state for a monarch, bishop, etc.",,,,,"[Synset('throne.n.01'),",,,,,b,,y,,very specific/not commonly used but is distinct to know purpose/setting,Synset('throne.n.01')
dinner_table,the dining table where dinner is served and eaten,,,,"[Synset('dinner_table.n.01')],",,,,,,l,,y,,specific type of table,Synset('dinner_table.n.01')
box box_seat,the driver's seat on a coach,,,"[Synset('box.n.08')],",,,,,,,l,,y,,,Synset('box.n.08')
bedstead bedframe,the framework of a bed,,"[Synset('bedstead.n.01')],",,,,,,,,l,,y,,subordinate to bed,Synset('bedstead.n.01')
peacock-throne,the golden throne of former kings of Delhi; stolen by the Persians in 1739 and subsequently lost; symbol of the former Shah of Iran,,,,,,"[Synset('peacock-throne.n.01')]]],",,,,l,,n,,specific/not commonly used by people ,Synset('peacock-throne.n.01')
upper_berth upper,the higher of two berths,,,,,"[Synset('upper_berth.n.01')]],",,,,,l,,y,,,Synset('upper_berth.n.01')
toilet_seat,the hinged seat on a toilet,,,"[Synset('toilet_seat.n.01')]],",,,,,,,b,,y,,,Synset('toilet_seat.n.01')
lower_berth lower,the lower of two berths,,,,,"[Synset('lower_berth.n.01')],",,,,,l,,y,,,Synset('lower_berth.n.01')
altar communion_table Lord's_table,the table in Christian churches where communion is given,,,"[Synset('altar.n.01')],",,,,,,,b,,y,,differentiate it from others,Synset('altar.n.01')
conference_table council_table council_board,the table that conferees sit around as they hold a meeting,,,"[Synset('conference_table.n.01')],",,,,,,,l,,y,,specific type of table,Synset('conference_table.n.01')
mercy_seat,the throne of God,,,,,,"[Synset('mercy_seat.n.01')],",,,,l,,n,,specific contextual term ,Synset('mercy_seat.n.01')
ottoman pouf pouffe puff hassock,thick cushion used as a seat,,,"[Synset('ottoman.n.03')],",,,,,,,l,,y,,,Synset('ottoman.n.03')
snack_bar snack_counter buffet,usually inexpensive bar,,,,,"[Synset('snack_bar.n.01'),",,,,,l,,y,,specific contextual term ,Synset('snack_bar.n.01')
platen,work table of a machine tool,,,"[Synset('platen.n.01')],",,,,,,,l,,n,,specific type of table,Synset('platen.n.01')
